Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,161,9,▲,73,34
New Hampshire,161,8,▲,74,32
Connecticut,160,8,▲,72,32
South Dakota,159,7,▲,77,28
New Jersey,159,7,▲,71,33
Iowa,156,3,▲,71,26
Idaho,156,3,▲,71,24
Michigan,154,2,♦,66,25
Illinois,154,1,♦,65,27
National public,152,†,,64,25
Arkansas,150,-3,▼,64,18
Florida,149,-4,▼,60,19
Tennessee,145,-7,▼,56,17
West Virginia,145,-8,▼,55,14
Wyoming,—,†,,—,—
Wisconsin,—,†,,—,—
Washington,—,†,,—,—
Vermont,—,†,,—,—
Virginia,—,†,,—,—
Utah,—,†,,—,—
Texas,—,†,,—,—
South Carolina,—,†,,—,—
Rhode Island,—,†,,—,—
Puerto Rico,—,†,,—,—
Pennsylvania,—,†,,—,—
Oregon,—,†,,—,—
Oklahoma,—,†,,—,—
Ohio,—,†,,—,—
New York,—,†,,—,—
Nevada,—,†,,—,—
New Mexico,—,†,,—,—
Nebraska,—,†,,—,—
North Dakota,—,†,,—,—
North Carolina,—,†,,—,—
Montana,—,†,,—,—
Mississippi,—,†,,—,—
Missouri,—,†,,—,—
Minnesota,—,†,,—,—
Maine,—,†,,—,—
Maryland,—,†,,—,—
Louisiana,—,†,,—,—
Kentucky,—,†,,—,—
Kansas,—,†,,—,—
Indiana,—,†,,—,—
Hawaii,—,†,,—,—
Georgia,—,†,,—,—
DoDEA,—,†,,—,—
Delaware,—,†,,—,—
District of Columbia,—,†,,—,—
Colorado,—,†,,—,—
California,—,†,,—,—
Arizona,—,†,,—,—
Alabama,—,†,,—,—
Alaska,—,†,,—,—
