Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Connecticut,299,12,▲,82,50
New Hampshire,295,8,▲,81,45
Massachusetts,293,6,▲,78,43
Idaho,292,5,▲,80,41
South Dakota,292,5,▲,81,39
New Jersey,292,5,▲,77,41
Iowa,291,4,▲,80,40
Illinois,289,2,♦,76,39
Michigan,288,1,♦,74,37
National public,287,†,,73,36
Florida,286,-1,♦,72,36
Arkansas,285,-3,♦,72,33
Tennessee,282,-5,▼,70,31
West Virginia,280,-7,▼,70,28
Wyoming,—,†,,—,—
Wisconsin,—,†,,—,—
Washington,—,†,,—,—
Vermont,—,†,,—,—
Virginia,—,†,,—,—
Utah,—,†,,—,—
Texas,—,†,,—,—
South Carolina,—,†,,—,—
Rhode Island,—,†,,—,—
Puerto Rico,—,†,,—,—
Pennsylvania,—,†,,—,—
Oregon,—,†,,—,—
Oklahoma,—,†,,—,—
Ohio,—,†,,—,—
New York,—,†,,—,—
Nevada,—,†,,—,—
New Mexico,—,†,,—,—
Nebraska,—,†,,—,—
North Dakota,—,†,,—,—
North Carolina,—,†,,—,—
Montana,—,†,,—,—
Mississippi,—,†,,—,—
Missouri,—,†,,—,—
Minnesota,—,†,,—,—
Maine,—,†,,—,—
Maryland,—,†,,—,—
Louisiana,—,†,,—,—
Kentucky,—,†,,—,—
Kansas,—,†,,—,—
Indiana,—,†,,—,—
Hawaii,—,†,,—,—
Georgia,—,†,,—,—
DoDEA,—,†,,—,—
Delaware,—,†,,—,—
District of Columbia,—,†,,—,—
Colorado,—,†,,—,—
California,—,†,,—,—
Arizona,—,†,,—,—
Alabama,—,†,,—,—
Alaska,—,†,,—,—
